brewery,beertype,rating,name,ABV
Mulholland Brewing Company,LAGER,3,Mulholland Lighkt,3.7
Wieden BrÃ¤u,LAGER,3.5,Wieden Brau Dunkel,4.8
Fabbrica Birra Busalla,LAGER,3,Castagnasca,6
Fabbrica Birra Busalla,LAGER,2,Ambra,7
Fabbrica Birra Busalla,LAGER,2.5,MÃ¼ller,6
Metropolitan Brewing,LAGER,4,India Pale Lager,5.5
Pabst Brewing Company,LAGER,2.5,Blatz Light,3.5
Les Brasseurs du Hameau,LAGER,2.5,La RouspÃ©teuse,7.5
Pabst Brewing Company,LAGER,3.5,Black Label Beer,4
Lodi&#326;a Alus,LAGER,3,GaiÂšais Lodi&#326;a Alus,5.2
Lodi&#326;a Alus,LAGER,3.5,Lodi&#326;a &#298;paÂšais Alus (Lodina Special Beer),5.2
Lodi&#326;a Alus,LAGER,3,Sen&#269;u Lodi&#326;a Alus,4.5
Pabst Brewing Company,LAGER,5,National Bohemian Ice Beer,5.7
Pabst Brewing Company,LAGER,1.5,Colt Ice Beer,5.9
Pabst Brewing Company,LAGER,2.5,Rainier Light,3.88
Pabst Brewing Company,LAGER,4,Stag,5.2
Pabst Brewing Company,LAGER,4,Jacob Best Light,3.8
Pabst Brewing Company,LAGER,2.5,Rainier Ice,5.6
Pabst Brewing Company,LAGER,1,Jacob Best Pilsner,4.73
Coors Brewing Company,LAGER,1,Coors Light,4.2
Pabst Brewing Company,LAGER,2.5,Piels,4.6
Pabst Brewing Company,LAGER,3,Primo,4.65
Pabst Brewing Company,LAGER,2,Pearl Light,2.1
Pabst Brewing Company,LAGER,3.5,Old Style Genuine Draft,4.75
Pabst Brewing Company,LAGER,1,Jacob Best Ice,5.86
Pabst Brewing Company,LAGER,2,Blatz Beer,4.9
Pabst Brewing Company,LAGER,1.5,Lone Star Light,3.88
Pabst Brewing Company,LAGER,2,Rainier Dry,5.9
Pabst Brewing Company,LAGER,2,Old Milwaukee Light,3.88
Pabst Brewing Company,LAGER,3,Old Style Light,3.8
Pabst Brewing Company,LAGER,4,Sportz Beer,5
Pabst Brewing Company,LAGER,2.5,Pabst Genuine Draft Lite,3.2
Pabst Brewing Company,LAGER,1,Olympia Gold,4.75
Pabst Brewing Company,LAGER,1,Schmidt Ice,5.9
Pabst Brewing Company,LAGER,3.5,Olympia 95% Malt,4.78
Pabst Brewing Company,LAGER,2.5,Lone Star Beer,4.72
Pabst Brewing Company,LAGER,1,Pabst Blue Ribbon Ice,6
Pabst Brewing Company,LAGER,1,"Red, White & Blue",4.3
Pabst Brewing Company,LAGER,4,Pearl Lager,4.73
Pabst Brewing Company,LAGER,1.5,Rainier Lager,4.72
Pabst Brewing Company,LAGER,2,Old Milwaukee Ice,5.9
Pabst Brewing Company,LAGER,3,Pabst Genuine Draft,4.5
Pabst Brewing Company,LAGER,2,Olympia Ice,6
Pabst Brewing Company,LAGER,3,Lucky Lager,4.73
Huisbrouwerij Old Bailey,LAGER,2.5,St. HonorÃ© Pils,5
Big River Grille & Brewing Works,LAGER,3.5,Big River Vienna Lager,5.24
Milwaukee Ale House,LAGER,3,Flaming Damsel,5.1
Milwaukee Ale House,LAGER,4,Shakedown Nut Brown,5.3
Rockyard Brewing,LAGER,4,Dutch,5.8
Monteith's Brewing Co.,LAGER,2,Monteith's Summer Ale,5
Rockyard Brewing,LAGER,4,Lynx Light Lager,4.1
Baltika-Baku,LAGER,3,"""33"" Export",4.8
Baltika-Baku,LAGER,2.5,Xirdalan,4.8
Vena Brewery,LAGER,3,Nevskoye Svetloye,4.6
Vena Brewery,LAGER,2.5,Nevskoye Original,5.7
Vena Brewery,LAGER,2,Nevskoye Light,3.2
Vena Brewery,LAGER,3,Nevskoye Triumf,5
Vena Brewery,LAGER,2,Nevskoye ICE,4.7
Vena Brewery,LAGER,3.5,Nevskoye Classic,5
Vena Brewery,LAGER,3.5,Tuborg Christmas Brew,5.6
Vena Brewery,LAGER,3.5,Nikolai Sinebrychoff,5.2
Stevens Point Brewery,LAGER,4,Point Classic Amber,4.7
Stevens Point Brewery,LAGER,3,Point Honey Light,4.2
Monteith's Brewing Co.,LAGER,2.5,Monteith's Golden,5
Monteith's Brewing Co.,LAGER,2.5,Monteith's Celtic Red,4.4
Barley John's Brew Pub,LAGER,3.5,Extra Special Lager,7.3
Peschl BrÃ¤u,LAGER,3,Peschl BrÃ¤u Dunkel Meistertrunk,4.8
Peschl BrÃ¤u,LAGER,2.5,Peschl BrÃ¤u Original 1855,5.1
Specklebelly's Brew Pub,LAGER,1.5,Specklebelly's Honey Brown,5
Specklebelly's Brew Pub,LAGER,2,Red Leaf Lager,5
Slavutych Brewery,LAGER,2.5,Slavutich ICE,5
Slavutych Brewery,LAGER,3,Slavutych Khmilne Svitle,4
Slavutych Brewery,LAGER,2,Slavutich Svitle,4.3
Slavutych Brewery,LAGER,3,Lvivske Premium,4.7
Slavutych Brewery,LAGER,1.5,Slavutich Mitzne,7.2
Slavutych Brewery,LAGER,4,Temne,4.5
Slavutych Brewery,LAGER,2.5,Slavutich Red,5
Slavutych Brewery,LAGER,2.5,Slavutic Yekstra,5.5
Slavutych Brewery,LAGER,3,Slavutych Klasychne (Classic),4
Slavutych Brewery,LAGER,2,Slavutych Pivo (Slavutich Premium),5
Pivzavod AO Rosar,LAGER,2.5,Sibirskaya Korona Georgiyevskoye,4.7
Pivzavod AO Rosar,LAGER,2,Bagbier Krepkoye,7
Pivzavod AO Rosar,LAGER,3.5,Sibirskaya Korona Krepkoye Luks,6.5
Pivzavod AO Rosar,LAGER,4,Sibirskaya Korona Prazdnichnoye,5.5
Pivzavod AO Rosar,LAGER,3,Bagbier Nadyezhnoye,5.4
Pivzavod AO Rosar,LAGER,2.5,Bagbier,4.2
Pivzavod AO Rosar,LAGER,3,Sibirskaya Korona Non Alcoholic,0.5
Pivzavod AO Rosar,LAGER,3.5,Sibirskaya Korona Klassichiskoye,5
Pivzavod AO Rosar,LAGER,3.5,Sibirskaya Korona Rubinovoye,5.8
AuerBrÃ¤u AG,LAGER,4,Chiemseer Braustoff,5.6
AuerBrÃ¤u AG,LAGER,3.5,Rosenheimer Helles,4.9
AuerBrÃ¤u AG,LAGER,4,AuerBrÃ¤u Rosenheimer Bajuwaren Dunkel,5.5
Kaltenberg International / KÃ¶nig Ludwig International GmbH & Co.KG,LAGER,4,KÃ¶nig Ludwig Dunkel,5.1
Kaltenberg International / KÃ¶nig Ludwig International GmbH & Co.KG,LAGER,3,Konigliches Festtags-Bier,5.6
Kaltenberg International / KÃ¶nig Ludwig International GmbH & Co.KG,LAGER,4,Konig Ludwig Hell,5.1
Kaltenberg International / KÃ¶nig Ludwig International GmbH & Co.KG,LAGER,3,Kaltenberg Hell,4.9
Artos Breweries Ltd,LAGER,3.5,Raj,5
Red Star Brewery & Grill,LAGER,4,The Kat Sass,6
Red Star Brewery & Grill,LAGER,3,Amber Waves Amber Lager,4.9
Red Star Brewery & Grill,LAGER,4,Voodoo's Child Dunkel,5.6
Red Star Brewery & Grill,LAGER,3.5,Lynn's Lovely Vienna Lager,4.5
Red Star Brewery & Grill,LAGER,3,Red Star Golden Light,4.2
Browar CzarnkÃ³w,LAGER,3,Proletaryat,6.2
Indian Wells Brewing Company,LAGER,3.5,Eastern Sierra Lager,5.25
Indian Wells Brewing Company,LAGER,3,Mojave Silver,3.2
John Martin's (John Martin SA),LAGER,3,Gordon Finest Gold,10
Cervejaria Sul Brasileira,LAGER,2,ColÃ´nia PilsenÂ ,4
Cervejaria Sul Brasileira,LAGER,1.5,ColÃ´nia Extra LagerÂ ,5
John Harvard's Brewery & Ale House,LAGER,3.5,Munich Dark,4.1
Bere Craiova (Brau-Union Romania),LAGER,3.5,Golden Brau,4.4
Freetail Brewing Company,LAGER,3.5,Bat Outta Helles,5
Pivovar Eggenberg & Restaurant Eggenberg,LAGER,4.5,Dark Lager (TmavÃ½ LeÂžÃ¡k),4.2
Brasserie de Luxembourg Mousel -Diekirch SA,LAGER,2.5,Diekirch Grand Cru AmbrÃ©e,5.1
Brasserie de Luxembourg Mousel -Diekirch SA,LAGER,3.5,Mousel Gezwieckelte Bier,4.8
Brasserie de Luxembourg Mousel -Diekirch SA,LAGER,3.5,Mousel Altmunster,5.5
Brasserie de Luxembourg Mousel -Diekirch SA,LAGER,2,Diekirch Premium,4.8
Brasserie de Luxembourg Mousel -Diekirch SA,LAGER,3.5,Diekirch Christmas,5.1
John Harvard's Brewery & Ale House,LAGER,3.5,Cold As Helles Lager,5.3
John Harvard's Brewery & Ale House,LAGER,3.5,Hellesbock Lager,6.8
John Harvard's Brewery & Ale House,LAGER,4,Atari Rice Ale,7
John Harvard's Brewery & Ale House,LAGER,4,The Doctor,6.7
John Harvard's Brewery & Ale House,LAGER,3.5,Long Island Light Lager,4.1
John Harvard's Brewery & Ale House,LAGER,4.5,Dastardly Dark Lager,5
John Martin's (John Martin SA),LAGER,2,Gordon Five,5
John Martin's (John Martin SA),LAGER,3.5,Gordon Finest Red,8.4
Hideji Beer,LAGER,3,Bohemian Garnet Lager,4.5
Oggi's Pizza & Brewing Co.,LAGER,3.5,Una Mas,5.3
Oggi's Pizza & Brewing Co.,LAGER,2,Sportsman's Light Lager,4
Brasserie Belgh Brasse,LAGER,3,Belgh Brasse TaÃ¯ga,5
South East Asia Brewery,LAGER,3.5,Halida Beer,5
Jack's Abby Brewing,LAGER,3.5,Red Tape Lager,5
Jack's Abby Brewing,LAGER,4.5,Kiwi Rising,8.5
Jack's Abby Brewing,LAGER,3,Wet Hop Lager,5.5
Jack's Abby Brewing,LAGER,4,Hoponius Union,6.7
Jack's Abby Brewing,LAGER,4,Spice Lager,5.7
Afanasy Pivo (Brau Service),LAGER,3.5,Afanasy Svetloye,4.8
Afanasy Pivo (Brau Service),LAGER,4.5,Yaroslavskoye Svetloye,4
Afanasy Pivo (Brau Service),LAGER,4,Tverskoye Svetloye,3.6
Afanasy Pivo (Brau Service),LAGER,2,Afanasy Gold Premium,5
Afanasy Pivo (Brau Service),LAGER,3,Sixx,6
Afanasy Pivo (Brau Service),LAGER,3,Afanasy Krepkoye,8.2
Afanasy Pivo (Brau Service),LAGER,2,Afanasy Ultra Premium,5
Afanasy Pivo (Brau Service),LAGER,3,Afanasy Dobroe,4.3
Afanasy Pivo (Brau Service),LAGER,4,Afanasy Tyemnoye,6.5
Afanasy Pivo (Brau Service),LAGER,2,Afanasy Zolotistoye,4.8
Big River Grille & Brewing Works,LAGER,3.5,Southern Flyer Light Lager,3.67
Barnaul Brewery,LAGER,3.5,Golfschteiner,4.5
Barnaul Brewery,LAGER,3,Bavarskoye Originalnoye Svetloye,4.7
"Pivovar Starbrno, A.S.",LAGER,3,Starobrno Black Drak,5.5
"Pivovar Starbrno, A.S.",LAGER,4,Starobrno Cerne (Black),3.8
Bruveris - SIA Alus Tirdzniecibas Grupa,LAGER,4,Ingver Alus Sarkanais,5.4
Bruveris - SIA Alus Tirdzniecibas Grupa,LAGER,3.5,Luxury,5.2
Bruveris - SIA Alus Tirdzniecibas Grupa,LAGER,3,R&#299;gas Alus GaiÂšais (Riga Light Beer),5.2
Bruveris - SIA Alus Tirdzniecibas Grupa,LAGER,2,R&#299;gas Alus Ori&#291;in&#257;lais (Riga Original Beer),4.2
Bruveris - SIA Alus Tirdzniecibas Grupa,LAGER,3,Ingver Alus GaiÂšais,4.7
Oyster Bar Brewery,LAGER,2.5,Luna Lager,5
Brauerei Gasthof Hotel Post,LAGER,4.5,Postwirts Dunkel,4.9
Brauerei Gasthof Hotel Post,LAGER,3.5,Weihnachtsbier,5.45
Castle Brewing (Kenya) Ltd,LAGER,3.5,Ranger,5.5
Coors Brewing Company,LAGER,1.5,Keystone Premium,4.4
St. Vincent Brewary LTD.,LAGER,3.5,Hairoun,4.8
Tracks Brewpub (Duplicate),LAGER,4.5,Old Mill Lager,5
Coors Brewing Company,LAGER,2.5,Coors Extra Gold,5
Feldschloesschen AG,LAGER,4,Export,5.2
Glenbar Malting,LAGER,1.5,Glenbar Organic Lager,4.5
Glenbar Malting,LAGER,4,Swan Hill Lager,4.5
Cropton Brewery,LAGER,4,Majestic Lager,4.2
Ã€ lâ€™abri de la TempÃªte,LAGER,2.5,L'independante,4.5
"Jacob Rainier & Sohn, Brauerei",LAGER,4,Zwickelbier Hefetrub-Dunkel,4.8
Coors Brewing Company,LAGER,4,Killian's Irish Red Light,3.2
Coors Brewing Company,LAGER,2,Killian's Irish Red,4.9
Coors Brewing Company,LAGER,2.5,Keystone Ice,5.9
Coors Brewing Company,LAGER,3,Coors,5
Minneapolis Town Hall Brewery,LAGER,4,Slamma Jamma Juice,5.8
Molson Coors Canada,LAGER,3.5,Molson Canadian Lager,5
Coors Brewing Company,LAGER,2.5,Aspen Edge,4.13
Coors Brewing Company,LAGER,3.5,Batch 19,5.5
Minneapolis Town Hall Brewery,LAGER,3.5,Hopfen Ublich,5.2
Minneapolis Town Hall Brewery,LAGER,4,Lack O' Tan Lager,5.2
Unibroue,LAGER,3.5,La Bolduc,5
Top of the Hill Restaurant and Brewery,LAGER,4,Leaderboard Trophy Lager,4.2
Top of the Hill Restaurant and Brewery,LAGER,4,Keenan Summer Lager,4.2
Murree Brewery Co. Ltd.,LAGER,3.5,Murree's Classic Lager,5.5
Murree Brewery Co. Ltd.,LAGER,3,Murree Beer,4.5
Independent Breweries Ltd,LAGER,3,Haagen Lager,5.3
Independent Breweries Ltd,LAGER,2.5,New Zealand Lager,5
Independent Breweries Ltd,LAGER,1,Ranfurly Draught,4
Independent Breweries Ltd,LAGER,1.5,Haagen Premium Light,2.7
Prvni Novomestsky Restauracni Pivovar,LAGER,3,New Town 11Â° Light Lager,4
Prvni Novomestsky Restauracni Pivovar,LAGER,3,New Town 11Â° Dark Lager,4.3
AS Tartu Ã•lletehas,LAGER,1.5,Saaremaa X,10
AS Tartu Ã•lletehas,LAGER,2.5,Viru,5
AS Tartu Ã•lletehas,LAGER,2.5,A. Le Coq Special Red,5.2
AS Tartu Ã•lletehas,LAGER,2,Saaremaa Tuulik,5.2
AS Tartu Ã•lletehas,LAGER,4.5,Alexander,5.2
AS Tartu Ã•lletehas,LAGER,3,A. Le Coq Special 1807,5.2
AS Tartu Ã•lletehas,LAGER,3,A. Le Coq Premium Export,5.2
AS Tartu Ã•lletehas,LAGER,3,TÃµmmu Hiid - Kerge Tume Ã•lu,4.7
Molson Coors Canada,LAGER,3,Molson Canadian 67 Sublime,3
Molson Coors Canada,LAGER,2,Molson Ice,5.6
Doshisha Corporation,LAGER,3,Muginosuke,5
Fort Collins Brewing,LAGER,3,1900 Amber Lager,4.5
Tuborgs Bryggerier A/S,LAGER,3,Tuborg Premium Lager (Gold / Guld),5
Fort Collins Brewing,LAGER,3,Edgar Lager,4.8
Grindstone Brewing Co.,LAGER,4,Grindstone Light,5
Molson Coors Canada,LAGER,3,Molson Canadian Ice,5.5
Six Rivers Brewery,LAGER,1.5,Loaders Light,4.5
Molson Coors Canada,LAGER,3,Molson M,4.9
Molson Coors Canada,LAGER,1,Molson Ultra,4.5
Molson Coors Canada,LAGER,2.5,Molson Canadian 67,3
Molson Coors Canada,LAGER,2,Keystone Lager,4.9
Molson Coors Canada,LAGER,2.5,Molson Dry,5.5
Molson Coors Canada,LAGER,3,Calgary Export Beer,5
Molson Coors Canada,LAGER,2.5,Carling Black Label Ice,5.5
Molson Coors Canada,LAGER,1.5,Carling Beer,4.9
Molson Coors Canada,LAGER,2.5,Carling Black Label SuprÃªme 8.0%,8
Molson Coors Canada,LAGER,2.5,Bohemian,5
Molson Coors Canada,LAGER,3,Carling Extra Dry,5.6
Molson Coors Canada,LAGER,3,Molson Smooth Dry,4.5
Molson Coors Canada,LAGER,2.5,Dave's Light,4
Molson Coors Canada,LAGER,2,Molson Canadian Cold Shots,6
Molson Coors Canada,LAGER,3,Carling Black Label Light,4
Molson Coors Canada,LAGER,3,Molson Canadian Light,4
Molson Coors Canada,LAGER,1.5,Brador,6
Molson Coors Canada,LAGER,2.5,Black Ice,6.1
Molson Coors Canada,LAGER,4,Carling Ice,5.5
Molson Coors Canada,LAGER,2.5,Carling Black Label Big 10%,10
Molson Coors Canada,LAGER,2,Molson Kick,5
Molson Coors Canada,LAGER,4.5,Hi Dry,6.5
Molson Coors Canada,LAGER,1.5,Molson Dry Cold Shots,6.55
Molson Coors Canada,LAGER,2,Carling Draft,5
Molson Coors Canada,LAGER,3,Molson Special Dry,5.5
Molson Coors Canada,LAGER,3,Carling Light,4
Molson Coors Canada,LAGER,3,Black Horse,5
Molson Coors Canada,LAGER,2.5,Dave's Ice,6.5
Molson Coors Canada,LAGER,2.5,Dave's Honey Brown,5
Brauerei Grandauer - WildbrÃ¤u Grafing vor MÃ¼nchen,LAGER,3,WildbrÃ¤u Meistersud,5.3
Brauerei Grandauer - WildbrÃ¤u Grafing vor MÃ¼nchen,LAGER,4.5,Wildbrau Weihnachts Bier,5.1
Brauerei Grandauer - WildbrÃ¤u Grafing vor MÃ¼nchen,LAGER,4,Jagahalbe Helles Vollbier,5.1
Unibroue,LAGER,3,U Blond Pilsner,4.9
Unibroue,LAGER,3,U Rousse,5
Smoky Mountain Brewery & Restaurant,LAGER,1,Velas Helles,5.2
Unibroue,LAGER,2,U 2,5
Unibroue,LAGER,3.5,U Miel Pilsner,5
Tuborgs Bryggerier A/S,LAGER,4.5,Tuborg Pilsner Beer (Blue / BlÃ¥),4.6
Tuborgs Bryggerier A/S,LAGER,3,Tuborg Pilsner Beer (Green / GrÃ¸n),4.6
Tuborgs Bryggerier A/S,LAGER,2,Tuborg JuleÃ¸l 4.5% (Norwegian Version),4.5
Tuborgs Bryggerier A/S,LAGER,2.5,Tuborg Light,3.3
Tuborgs Bryggerier A/S,LAGER,4,Hvid Tuborg (White),4.6
Tuborgs Bryggerier A/S,LAGER,4,Tuborg Julebryg,5.6
Tuborgs Bryggerier A/S,LAGER,1.5,Tuborg Fine Festival (FF),7.5
Tuborgs Bryggerier A/S,LAGER,4,Tuborg Classic Gylden,4.6
Tuborgs Bryggerier A/S,LAGER,3,Tuborg Classic,4.6
Tuborgs Bryggerier A/S,LAGER,1.5,Tuborg Cold Shot 6.5,6.7
Tuborgs Bryggerier A/S,LAGER,1.5,Tuborg Lager (Red / RÃ¸d),4.3
Brasserie Meteor,LAGER,2.5,Meteor Lager,5.1
Brasserie Meteor,LAGER,2.5,Ackerland,6.1
TOO Dinal,LAGER,2,Tian-Shan Kummi/Krepkoye,7
Brasserie Meteor,LAGER,2.5,Blonde D' Alsace,6.1
TOO Dinal,LAGER,2.5,Tian-Shan Akshil/Svetloye,4.2
TOO Dinal,LAGER,3.5,Tian-Shan Klassikalyk/Klassichiskoye,4.8
Moylan's Brewery,LAGER,3,Hell Export Lager,5.3
Kaiser BrÃ¤u GmbH & Co KG,LAGER,3.5,Veldensteiner Original Lager,4.9
Hell's Gate Brewing Company,LAGER,3.5,Stanley Park Lager,5
Hell's Gate Brewing Company,LAGER,2.5,Rockstar Lager,5.5
Hell's Gate Brewing Company,LAGER,3,Hell's Gate Lager,5
The Olde Mecklenburg Brewery,LAGER,4,Mecklenburger Bavarian Lager,5.4
Trapp Family Lodge Brewery,LAGER,4.5,Trapp Golden Helles Lager,4.8
HelderbrÃ¤u Brewery,LAGER,4,HelderbrÃ¤u Lager,4
HelderbrÃ¤u Brewery,LAGER,4,HelderbrÃ¤u Dunkel,4
Trapp Family Lodge Brewery,LAGER,4,Trapp Vienna Lager,5
Trapp Family Lodge Brewery,LAGER,4.5,Trapp Dunkel Lager,5.2
Trapp Family Lodge Brewery,LAGER,4.5,Trapp Green & Gold,4.5
Trapp Family Lodge Brewery,LAGER,4.5,Trapp Winter Geist,8
Trapp Family Lodge Brewery,LAGER,4,Trapp Summer Lager,4.5
Guinness Nigeria PLC,LAGER,1.5,Star Beer,5
Smoky Mountain Brewery & Restaurant,LAGER,3,Mountain Light,4.2
Gasthofbrauerei Heustadl,LAGER,3,Thaneller Dunkel,4.5
Gasthofbrauerei Heustadl,LAGER,3.5,Thaneller Helles,4.5
Jerninghan Street Brewery,LAGER,1.5,Red Ant,4.5
Felsen BrÃ¤u W. Glossner KG,LAGER,3.5,Felsentrunk,4.9
Kaiser BrÃ¤u GmbH & Co KG,LAGER,4,Veldensteiner Landbier,5.4
Feral Brewing Co.,LAGER,3.5,983,4.7
Meckatzer LÃ¶wenbrÃ¤u Benedikt Weiss KG,LAGER,3.5,Meckatzer Weiss-Gold,5.2
Mishawaka Brewing Company,LAGER,4,Mishawaka Munich Lager,4.3
Pivovar BaÅ¡ta (SousedskÃ½ Pivovar U BansethÅ¯),LAGER,4,BaÂšta PolotmavÃ½ SpeciÃ¡l 12Â°,5
The Tap Brewing Company,LAGER,4,Helles Belles,5.3
The Tap Brewing Company,LAGER,4,Cinco Lager,5.7
Brasserie Morbraz,LAGER,2.5,Kristorg,3
Abita Brewing Co.,LAGER,2,Golden,4.2
Abita Brewing Co.,LAGER,4,Amber,4.5
Abita Brewing Co.,LAGER,3,Wheat,4.2
Moosehead Breweries Ltd.,LAGER,3,Moosehead Lager,5
KraftbrÃ¤u Brewery,LAGER,4,KraftbrÃ¤u Celery City Dortmunder Export,6
KraftbrÃ¤u Brewery,LAGER,3.5,KraftbrÃ¤u Helles,4.5
KraftbrÃ¤u Brewery,LAGER,3.5,KraftbrÃ¤u Vienna,5.5
KraftbrÃ¤u Brewery,LAGER,4,KraftbrÃ¤u Munich Red,5.5
KraftbrÃ¤u Brewery,LAGER,2,KraftbrÃ¤u Dunkel,5
Shaftebury Brewing Company,LAGER,3.5,Four Twenty Brilliant Lager,5
KraftbrÃ¤u Brewery,LAGER,4,KraftbrÃ¤u Dark Bohemian,5.5
Solodov-Pivo Co.,LAGER,2,Solodov Svetloye,4.7
Shaftebury Brewing Company,LAGER,3,Summer Days Premium Lager,5
Shaftebury Brewing Company,LAGER,3.5,Summer Days Premium Pilsner,5
Hansa Brauerei / Namibia Breweries,LAGER,2.5,Hansa Imported Dortmunder,4.8
Hansa Brauerei / Namibia Breweries,LAGER,3.5,Tafel,4
Great Lakes Brewing Company,LAGER,3.5,Great Lakes Dortmunder Gold,5.8
BJ's Restaurant & Brewery,LAGER,2,LightSwitch Lager,3.5
Great Lakes Brewing Company,LAGER,4.5,Great Lakes Eliot Ness,6.2
Schlossbrauerei Stein Wiskott GmbH & Co. KG,LAGER,2.5,Steiner Export Hell,5.3
Rochester Mills Beer Co.,LAGER,4,Rochester Mills Rochester Red,6.3
Rochester Mills Beer Co.,LAGER,3.5,Rochester Mills Lazy Daze Lager,5.3
Ceylon / Lion Brewery Limited,LAGER,3,Lion Imperial Premium Malt Pilsner,8.8
Macau Beer Company Limited,LAGER,2,Macau Beer,4
Klinskiy Pivokombinat,LAGER,3,Klinskoye Lyuks,5
Klinskiy Pivokombinat,LAGER,1.5,Klinskoye Samurai,4.9
Klinskiy Pivokombinat,LAGER,3,Klinskoye Zolotoye,4.5
Klinskiy Pivokombinat,LAGER,3,Klinskoye Svetloye,4.5
Klinskiy Pivokombinat,LAGER,2,Klinskoye Arriva,4.5
Klinskiy Pivokombinat,LAGER,2,Tolstyak Khmelnoye,7.8
Klinskiy Pivokombinat,LAGER,2,Klinskoye Wow,5.2
Klinskiy Pivokombinat,LAGER,1.5,Sibirskaya Korona Zolotistoye,4.5
Klinskiy Pivokombinat,LAGER,3.5,Klinskoye Ultro,4.3
Coedo Brewery (Kyodo Shoji Koedo Brewery),LAGER,2,Coedo Kyara,5
Brauerei Reichold,LAGER,4,Hochstahl Lager,4.9
GrÃ¤fliche Brauerei Arco Valley,LAGER,3.5,WintermÃ¤rchen Festbier,5.4
Rex Beverage Holdings,LAGER,2.5,Horny Goat Red Vixen,5.4
Rex Beverage Holdings,LAGER,4,William Penn Colonial Style Lager,5.2
Rex Beverage Holdings,LAGER,3,Horny Goat Horny Blonde,5
Gulf Brewery,LAGER,2.5,Harvest Moon Organic Beer,4.6
Bad Windsheimer BÃ¼rgerbrÃ¤u,LAGER,3.5,Freiland Museum Dunkel,5
West Brewing Company,LAGER,3.5,West Dunkel,4.9
Bryggeri Skovlyst,LAGER,2,BirkeBryg,5.2
Moosehead Breweries Ltd.,LAGER,3,Clancy's Red,5
Moosehead Breweries Ltd.,LAGER,3.5,James Ready Light,4
Moosehead Breweries Ltd.,LAGER,2.5,Moosehead Light Ginger,4
Moosehead Breweries Ltd.,LAGER,2.5,Moosehead Light Lime,4
Moosehead Breweries Ltd.,LAGER,3,Alpine Light,4
Moosehead Breweries Ltd.,LAGER,3,Moosehead Cracked Canoe,3.5
Moosehead Breweries Ltd.,LAGER,2.5,Moosehead Light,4
Moosehead Breweries Ltd.,LAGER,2,Moosehead Dry Ice,6
Moosehead Breweries Ltd.,LAGER,2,Moosehead Premium Dry,5.5
Moosehead Breweries Ltd.,LAGER,3,Alpine Lager,5
HofbrÃ¤uhaus Newport,LAGER,4,Kunzel Lager,5.7
HofbrÃ¤uhaus Newport,LAGER,2.5,HofbrÃ¤u Light,3.8
HofbrÃ¤uhaus Newport,LAGER,4,HofbrÃ¤u Dunkel,5.5
HofbrÃ¤uhaus Newport,LAGER,4,Christmasbier (Weihnachts),5.5
Kamenitza AD,LAGER,2.5,Kamenitza Svetlo,4.4
Kamenitza AD,LAGER,3,Astika,4.5
Kamenitza AD,LAGER,4,Kanenitza Tamno,5
Kamenitza AD,LAGER,1,Slavena,3.4
Kamenitza AD,LAGER,2.5,Kamenitza Dark Beer,5
Kamenitza AD,LAGER,2,Kamenitza 1881,4.4
Kamenitza AD,LAGER,2,Kamenitza,4.5
Kamenitza AD,LAGER,3,Kamenitza Lev,5
Liechtensteiner Brauhaus,LAGER,2.5,Kona,4.8
Liechtensteiner Brauhaus,LAGER,3.5,Liechtensteiner Brauhaus Hell's,5
Great Lakes Brewing Company,LAGER,3.5,Great Lakes Locktender Lager,4.8
TrÃ¶egs Brewing Company,LAGER,4,Scratch Beer 6 - 2007,5.1
UAB Å vyturys,LAGER,4,Svyturys Ekstra,5.2
UAB Å vyturys,LAGER,3.5,T&#363;kstantme&#269;io 1000 (Millenium),4.9
UAB Å vyturys,LAGER,2.5,Maksimum,7.5
UAB Å vyturys,LAGER,3,Svyturys Ekstra Draught,5.3
UAB Å vyturys,LAGER,3.5,1784,5.4
SchwarzbrÃ¤u GmbH,LAGER,4.5,SchwarzbrÃ¤u Feines Helles,4.9
SchwarzbrÃ¤u GmbH,LAGER,3.5,SchwarzbrÃ¤u Exquisit,5.3
Firehouse Brewing Co.,LAGER,3.5,Angst Alt Lager,5
Great Lakes Brewing Company,LAGER,4,Great Lakes Imperial Dortmunder,7.5
Great Lakes Brewing Company,LAGER,2.5,Great Lakes Rapid Red Ale,5.8
Hofmark Brauerei,LAGER,2.5,Harrods Knightsbridge 1849 Lager,5.6
Mike Hess Brewing,LAGER,4,Grazias,5.5
Brasserie Grain d' Orge (Brasserie Jeanne d'Arc SA),LAGER,2.5,"Belzebuth 8,4",8.4
Deka Brewery,LAGER,3,Zhigulevskoe,4
Deka Brewery,LAGER,3,Riga,4.5
Deka Brewery,LAGER,4,Ilmen Lager Beer,4
Deka Brewery,LAGER,3,Black Prince,4.9
Deka Brewery,LAGER,3.5,"Dark Beer ""Mart"" (Maptobckoe)",4.9
Riedenburger Brauhaus,LAGER,3.5,Riedenburger Helles NaturtrÃ¼b,5
Riedenburger Brauhaus,LAGER,4,Riedenburger 5-Korn Ur-Bier,5
Birkenhead Brewery,LAGER,3.5,Birkenhead Premium Lager,4.5
Povolzhye OAO,LAGER,3,Volzhanin Akhtuba,5.5
Povolzhye OAO,LAGER,2.5,Volzhanin Svetloye,4.3
Brauerei BruckmÃ¼ller,LAGER,4,Bruckmueller Hell,5
